time,sand_heads_actual,sand_heads_predicted,halibut_bank_actual,halibut_bank_predicted,sentry_shoal_actual,sentry_shoal_predicted
2012-01-01 00:00:00,277.81345,280.10754,278.8259,279.85867,279.08038,280.37332
2012-01-01 03:00:00,277.9335,280.12064,280.093,279.8793,279.26718,280.34042
2012-01-01 06:00:00,278.81396,280.11523,279.70938,279.87796,279.639,280.40024
2012-01-01 09:00:00,279.86792,280.1749,280.68295,279.8584,279.98038,280.37402
2012-01-01 12:00:00,278.39267,280.3016,279.70377,279.85492,279.57825,280.41202
2012-01-01 15:00:00,277.51285,280.1125,278.0458,279.75076,278.1619,280.463
2012-01-01 18:00:00,279.26273,279.51868,281.16547,279.32776,279.04984,280.7556
2012-01-01 21:00:00,281.3798,279.00433,280.83493,279.53125,280.6063,280.87378
2012-01-02 00:00:00,282.01926,279.39972,281.64523,279.67914,281.3925,280.90097
2012-01-02 03:00:00,282.25772,279.49155,281.6656,280.26428,281.71512,280.9057
2012-01-02 06:00:00,282.27963,279.3942,282.22473,280.7028,282.27652,280.79596
2012-01-02 09:00:00,282.19547,279.39984,282.62527,280.7761,282.99185,280.5291
2012-01-02 12:00:00,280.50122,279.29086,280.6831,280.9171,281.59634,279.08228
2012-01-02 15:00:00,279.5997,279.88892,280.41235,281.28543,281.31277,279.7267
2012-01-02 18:00:00,280.01584,280.6226,280.58414,281.16306,281.6061,279.80634
2012-01-02 21:00:00,281.15765,280.48886,281.1653,281.00385,281.03882,279.51627
2012-01-03 00:00:00,281.08545,280.06992,280.8867,280.68378,280.29764,280.96353
2012-01-03 03:00:00,280.69824,280.78732,281.08545,279.7896,280.99472,281.46558
2012-01-03 06:00:00,280.99387,280.50485,280.69623,280.30267,281.34976,281.55222
2012-01-03 09:00:00,281.60742,280.68765,281.5398,280.46683,281.9382,280.87503
2012-01-03 12:00:00,280.9316,280.50858,281.13406,280.59927,281.7478,280.55627
2012-01-03 15:00:00,280.72403,279.56424,280.53452,280.50656,281.14236,280.61725
2012-01-03 18:00:00,280.6365,279.5121,280.47134,280.68414,280.84763,280.68576
2012-01-03 21:00:00,280.89294,279.57758,280.6008,280.66068,280.9253,280.76578
2012-01-04 00:00:00,280.96207,280.3155,280.72327,280.34894,281.20096,280.78
2012-01-04 03:00:00,281.0498,279.95737,280.76944,280.7004,281.20425,278.61084
2012-01-04 06:00:00,281.85278,280.20172,281.22757,281.17227,281.27673,281.52603
2012-01-04 09:00:00,282.35095,281.85873,282.0792,281.989,281.78964,281.79395
2012-01-04 12:00:00,281.92514,282.63892,281.43997,282.10416,281.24927,281.58075
2012-01-04 15:00:00,280.9044,282.4108,280.69846,281.75073,281.3967,281.67532
2012-01-04 18:00:00,281.15607,282.30386,280.9963,281.2439,282.10544,282.25705
2012-01-04 21:00:00,281.49802,282.09048,281.2417,281.13956,282.03943,281.93848
2012-01-05 00:00:00,281.55,282.0166,281.71915,280.7881,281.7948,279.68246
2012-01-05 03:00:00,281.24738,280.711,280.91406,279.7102,280.46194,280.652
2012-01-05 06:00:00,280.7008,280.44614,280.41022,280.6704,280.91476,280.79288
2012-01-05 09:00:00,280.45474,280.2138,280.46497,280.72818,280.24112,280.80884
2012-01-05 12:00:00,280.10376,279.7085,279.72903,280.69177,279.8276,280.40485
2012-01-05 15:00:00,279.91708,279.4155,280.10318,280.4469,280.55002,280.5774
2012-01-05 18:00:00,280.42685,280.32364,279.75647,280.47433,279.13358,280.4222
2012-01-05 21:00:00,280.9253,280.40497,280.2747,280.41373,280.0212,280.6203
2012-01-06 00:00:00,280.52344,280.11954,280.4495,280.38754,279.277,280.56607
2012-01-06 03:00:00,280.05118,280.26935,279.76373,279.94653,279.30936,280.6407
2012-01-06 06:00:00,279.66763,280.26895,279.70544,279.92105,278.7891,280.62906
2012-01-06 09:00:00,279.62888,280.11276,279.5809,280.05505,278.87454,280.59354
2012-01-06 12:00:00,279.5355,280.04242,279.49866,280.02682,278.89468,280.5781
2012-01-06 15:00:00,279.5542,280.03357,279.46667,279.97644,278.93167,280.73328
2012-01-06 18:00:00,279.27863,280.00345,279.12454,280.03488,278.78284,280.64
2012-01-06 21:00:00,279.1639,279.99835,279.1056,280.0471,279.04163,280.58932
2012-01-07 00:00:00,278.486,280.00076,278.42947,280.05624,279.35114,280.62436
2012-01-07 03:00:00,278.34464,280.00293,278.26694,280.05316,279.2725,280.62537
2012-01-07 06:00:00,278.32886,280.0053,278.4032,280.04028,279.30106,280.60278
2012-01-07 09:00:00,278.6878,280.0041,278.4608,280.03006,279.44766,280.61438
2012-01-07 12:00:00,278.06378,280.0054,278.7923,280.02246,279.53775,280.74222
2012-01-07 15:00:00,277.7924,280.00122,278.73337,280.0133,279.139,280.59073
2012-01-07 18:00:00,277.56018,279.98703,278.16745,280.06393,279.10916,280.27
2012-01-07 21:00:00,278.0474,279.95294,278.37717,280.1498,279.48306,280.18268
2012-01-08 00:00:00,278.43246,279.97012,278.94818,280.16257,279.90912,280.39
2012-01-08 03:00:00,278.78394,279.88724,279.47055,280.199,280.12546,279.27145
2012-01-08 06:00:00,279.14462,280.21204,279.7684,280.49512,280.50732,278.9707
2012-01-08 09:00:00,279.5282,280.34073,279.8047,280.65546,280.8412,279.0798
2012-01-08 12:00:00,279.53836,280.20596,279.73935,280.6763,280.801,279.0734
2012-01-08 15:00:00,279.5953,279.85217,280.19205,280.6724,281.15842,279.25763
2012-01-08 18:00:00,280.24585,279.37845,280.76178,280.75848,281.32608,281.69333
2012-01-08 21:00:00,280.51312,279.6501,280.89453,280.75818,281.14865,281.37634
2012-01-09 00:00:00,280.36765,280.70917,280.4545,280.7803,281.1275,281.36688
2012-01-09 03:00:00,280.781,280.98587,280.79764,280.51752,281.26755,281.5367
2012-01-09 06:00:00,280.4142,280.63275,280.76382,280.9903,281.8135,281.1959
2012-01-09 09:00:00,280.53308,280.72824,280.7576,281.0152,282.17432,280.72974
2012-01-09 12:00:00,280.49258,280.35358,280.90952,280.98175,281.74863,279.6243
2012-01-09 15:00:00,279.8629,279.50327,280.44693,280.8651,281.73975,280.70255
2012-01-09 18:00:00,280.73727,279.5252,280.53348,280.61285,280.9576,280.395
2012-01-09 21:00:00,280.8008,279.65073,281.23837,280.11368,280.74728,280.41882
2012-01-10 00:00:00,280.68347,279.62625,280.86993,280.63318,280.80374,280.65646
2012-01-10 03:00:00,280.38693,280.46542,280.49118,280.44876,279.5276,280.36026
2012-01-10 06:00:00,279.90417,279.8952,279.83652,279.94827,278.87436,280.24973
2012-01-10 09:00:00,279.30612,280.0081,279.16162,280.02185,278.37723,280.406
2012-01-10 12:00:00,278.9114,280.26202,278.69443,280.3837,277.92703,280.57007
2012-01-10 15:00:00,277.09137,280.2947,278.43222,280.39468,277.50748,280.57217
2012-01-10 18:00:00,276.78378,280.13992,278.4976,279.79034,277.68002,280.52393
2012-01-10 21:00:00,278.83838,280.00168,278.6308,279.9263,278.75534,280.4098
2012-01-11 00:00:00,278.9388,280.3515,278.89316,280.22586,279.28665,280.57443
2012-01-11 03:00:00,278.91675,280.30362,278.9863,280.37802,278.9305,280.4543
2012-01-11 06:00:00,278.44595,280.24982,278.84915,280.3828,278.68887,280.45953
2012-01-11 09:00:00,278.7857,280.21808,278.92813,280.37994,278.73587,280.4617
2012-01-11 12:00:00,277.3943,280.2141,278.2434,280.38132,276.6841,280.51273
2012-01-11 15:00:00,275.35437,280.2098,277.49884,280.4267,276.46677,280.54715
2012-01-11 18:00:00,276.10495,280.32904,277.79916,279.992,276.92563,280.5684
