Outfall Name from Valenti-Muelas et al. (2026),Outfall Name from Rich,Population,latitude,longitude,Depth,Flow,,,,,,,,,,,,,
,Capital Regional District - Clover Point,,48.4025,-123.348889,67,44915,,,,,,,,,,,,,
,BC Ferries,,49.783333,-124.61667,3,"0.31",,,,,,,,,,,,,
,Van Anda,,49.758333,-124.55,35,"17.2",,,,,,,,,,,,,
,District of Campbell River,35519,50.048611,-125.258333,35,20000,,,,,,,,,,,,,
,Powell River Regional District - Lund,,49.9811111,-124.7611111,50,70,,,,,,,,,,,,,
,Quathiaski Cove,,50.051,-125.217,24,30,,,,,,,,,,,,,
,Sliammon,,49.8969444,-124.6083333,15,157,,,,,,,,,,,,,
,Sundowner,,49.62253832,-124.025259,21,10,,,,,,,,,,,,,
,Cape Mudge Band,,49.99972,-125.18444,14,50,,,,,,,,,,,,,
,Cumberland,,49.61634,-125.03613,0,3225,,,,,,,,,,,,,
,Gillies Bay,,49.683333,-124.48333,0,7,,,,,,,,,,,,,
,Wildwood,,49.830452,-124.513893,7,2350,,,,,,,,,,,,,
,Nanoose FN,,49.272316,-124.193054,50,78,,,,,,,,,,,,,
,Westview,,49.8371656881596,-124.528876410001,60,5057,,,,,,,,,,,,,
,Town of Gibsons WWTP,,49.4005691328716,-123.50912417875,20,1500,,,,,,,,,,,,, 
,Snug Cove WWTP,,49.3796392381716,-123.332078459847,0.65,70,,,,,,,,,,,,, 
,Citrus Wynd WWTP,,49.3974552422354,-123.250249795345,0.5,96,,,,,,,,,,,,, 
,Riverport WWTP,,49.1363763192682,-123.060988116488,0.5,315,,,,,,,,,,,,, 
,TFN Sewage Treatment Plant,,49.053303965667,-123.098053077777,0.5,300,,,,,,,,,,,,, 
,French Creek Pollution Control,,49.3458117870794,-124.360620800503,61,10246,,,,,,,,,,,,, 
,Nanoose Bay Pollution Control,,49.2873563519581,-124.149698302354,39,273,,,,,,,,,,,,, 
,SnawnNaw-As WWTP,,49.2541900350815,-124.128070088863,0.5,61,,,,,,,,,,,,, 
,Duke Point Pollution Control,,49.1399412629798,-123.875604715428,43,108,,,,,,,,,,,,, 
,CFB Equimault/Rocky Point,,48.430833,-123.428889,,119,,,,,,,,,,,,, 
,PA Region - William Head,,48.3595315896865,-123.544772853559,15,159,,,,,,,,,,,,, 
,Tsawout WWTP,,48.5925282704054,-123.391446702103,0.5,600,,,,,,,,,,,,, 
,Magic Lake,,48.7645470069131,-123.290063789335,30,262,,,,,,,,,,,,, 
