date,rmse,mae,bias
2012-01-01,1.9028059,1.3918017,-0.70908344
2012-01-02,2.18261,1.5598403,-0.0570686
2012-01-03,1.5314912,1.1087737,-0.02591168
2012-01-04,1.8126657,1.4261613,0.87851626
2012-01-05,1.6383591,1.1764446,0.3748142
2012-01-06,1.744842,1.2441881,-0.4412721
2012-01-07,1.7298858,1.2164028,-0.22060347
2012-01-08,1.5679966,1.0868949,0.15227583
2012-01-09,1.6365509,1.1236565,0.04678862
2012-01-10,1.8907796,1.3247641,-0.27933353
2012-01-11,1.970506,1.4319444,-0.49334833
2012-01-12,1.9926724,1.4432174,0.0734569
2012-01-13,2.3589344,1.6728905,0.46605617
2012-01-14,2.363576,1.642953,0.95431185
2012-01-15,2.2457914,1.7255704,0.41684663
2012-01-16,2.4535534,1.8820758,0.6349107
2012-01-17,2.9509358,2.2971735,1.5120465
2012-01-18,3.6050012,2.860243,1.8131176
2012-01-19,3.4010806,2.4601548,1.2989862
2012-01-20,2.8885486,1.9477718,1.245394
2012-01-21,3.1799653,1.9460216,1.258689
2012-01-22,2.07546,1.4454777,0.5048753
2012-01-23,1.7271653,1.2697011,0.14361554
2012-01-24,1.8732941,1.4022112,-0.3011911
2012-01-25,1.9530687,1.393372,0.5698246
2012-01-26,1.8475999,1.2884548,0.17271826
2012-01-27,1.9451809,1.3940526,-0.14380403
2012-01-28,1.7984099,1.3924465,0.12908453
2012-01-29,2.1013322,1.4186649,0.75517005
2012-01-30,1.4872493,1.0402116,0.07500498
2012-01-31,1.5283703,1.0609591,-0.13229463
2012-02-01,1.5161761,1.043679,0.17478101
2012-02-02,1.6796803,1.2022921,-0.004495289
2012-02-03,1.9692459,1.399041,-0.47155225
2012-02-04,2.1796117,1.5356739,-0.77789634
2012-02-05,2.286642,1.6240852,-0.7357545
2012-02-06,2.12265,1.5012516,-0.21283954
2012-02-07,2.2949033,1.6908904,0.7918612
2012-02-08,1.9651163,1.4573817,0.431386
2012-02-09,2.230189,1.6843455,1.2846125
2012-02-10,1.8855373,1.3229352,0.19312908
2012-02-11,1.9218748,1.4270055,-0.19557902
2012-02-12,2.1560347,1.6492051,-0.41162777
2012-02-13,1.7884831,1.2326186,-0.5216063
2012-02-14,2.1521373,1.540682,-0.1267294
2012-02-15,2.1016638,1.5104433,0.023151387
2012-02-16,1.6841841,1.1994911,0.084831655
2012-02-17,2.0172608,1.3884126,0.36258096
2012-02-18,1.5704064,1.1183238,0.20305218
2012-02-19,1.7680409,1.2556665,-0.014213389
2012-02-20,1.7196858,1.2041965,-0.65522975
2012-02-21,1.6199484,1.1477417,0.26643482
2012-02-22,1.6766018,1.1576657,0.44121814
2012-02-23,1.837317,1.302588,0.0494516
2012-02-24,2.1023574,1.5477419,-0.8815076
2012-02-25,1.8733171,1.3672228,-0.3791399
2012-02-26,2.0665708,1.5406518,0.41383687
2012-02-27,2.106433,1.6010017,0.068847835
2012-02-28,2.0829782,1.6108662,0.62132454
2012-03-01,2.2299023,1.6188525,0.13051952
2012-03-02,1.8756794,1.3544054,0.24593371
2012-03-03,1.6520072,1.1354238,0.2993847
2012-03-04,1.7039268,1.1933006,-0.34801745
2012-03-05,1.9827969,1.5364144,0.013694607
2012-03-06,2.059392,1.5350425,0.3699585
2012-03-07,2.1537685,1.5406731,-0.54303586
2012-03-08,1.9924494,1.4222192,-0.004408259
2012-03-09,1.9823352,1.4306306,0.38325283
2012-03-10,1.8568757,1.2920337,-0.25130156
2012-03-11,1.9106232,1.4663414,-0.08202277
2012-03-12,1.9353042,1.4800494,0.36943644
2012-03-13,2.0491164,1.6195132,0.6736829
2012-03-14,1.8693781,1.353554,0.29223183
2012-03-15,1.5263749,1.1138806,0.017593553
2012-03-16,1.7429532,1.3385031,0.2816471
2012-03-17,2.112925,1.6182293,0.3972593
2012-03-18,2.2811842,1.8245528,1.0039365
2012-03-19,2.367629,1.8784838,0.28639248
2012-03-20,1.8089428,1.3253913,0.21498491
2012-03-21,1.8540533,1.3757069,0.35371098
2012-03-22,2.1200278,1.6535813,0.2901149
2012-03-23,2.110431,1.5312409,0.19286105
2012-03-24,2.0109613,1.4136654,-0.01586958
2012-03-25,1.913009,1.3655335,-0.14885247
2012-03-26,2.3163197,1.6162277,-0.32617572
2012-03-27,1.9171162,1.3272419,-0.0531969
2012-03-28,1.6577559,1.1683223,0.2634147
2012-03-29,1.6943839,1.2151301,0.15484148
2012-03-30,1.7225844,1.3138657,0.47291988
2012-03-31,2.0260482,1.5843904,0.5523615
2012-04-01,1.8312663,1.3348684,0.2971227
2012-04-02,1.7041234,1.2268702,0.1968634
2012-04-03,1.9026476,1.4655998,0.6800581
2012-04-04,2.036862,1.5399129,0.34254226
2012-04-05,1.9926167,1.4045154,0.090462774
2012-04-06,2.0575833,1.4780401,0.40370476
2012-04-07,2.0918171,1.4901841,0.5687797
2012-04-08,2.1817968,1.6026115,0.49325043
2012-04-09,2.05582,1.499683,0.4652621
2012-04-10,2.131226,1.524414,0.008932227
2012-04-11,2.1077037,1.4990585,-0.0010724664
2012-04-12,1.9710125,1.3905888,0.0068428926
2012-04-13,1.9941548,1.4398298,0.08764801
2012-04-14,2.0057678,1.4422945,0.010533884
2012-04-15,2.114782,1.5596434,0.06522072
2012-04-16,2.0191145,1.4484684,-0.43372858
2012-04-17,1.8763995,1.3183452,-0.012887744
2012-04-18,1.7549872,1.2197222,-0.20978785
